OBJECTID,Código upz,Nombre upz,Total Hurto Personas 2022,coord_x,coord_y
330,UPZ80,Corabastos,245,"-74,16175959176819","4,630199835770584"
331,UPZ11,San Cristobal Norte,138,"-74,02318348226463","4,736285347296358"
332,UPZ59,Alfonso Lopez,84,"-74,10260363302606","4,4939588191396345"
333,UPZ25,La Floresta,206,"-74,07990691595279","4,699647467808344"
338,UPZ70,Jerusalem,119,"-74,1652834882089","4,565662766586239"
339,UPZ46,Castilla,562,"-74,1429281163456","4,642393883413379"
340,UPZ29,Minuto De Dios,511,"-74,0981492168862","4,7084149348763065"
334,UPZ85,Bosa Central,828,"-74,1943938659622","4,607838372441527"
335,UPZ50,La Gloria,179,"-74,08913674330819","4,546687243158008"
336,UPZ22,Doce De Octubre,416,"-74,07929994264602","4,671837987500388"
337,UPZ108,Zona Industrial,268,"-74,09718800846557","4,61892457470267"
321,UPZ48,Timiza,327,"-74,16178435145916","4,608607774884759"
322,UPZ96,Lourdes,96,"-74,07089098479598","4,5853869132492955"
323,UPZ75,Fontibon,571,"-74,14393725837327","4,677027700922609"
324,UPZ51,Los Libertadores,90,"-74,09046854323338","4,532509268691319"
325,UPZ66,San Francisco,221,"-74,14759563939083","4,5641521909212015"
326,UPZ102,La Sabana,972,"-74,08448953256196","4,611045036856938"
328,UPZ55,Diana Turbay,119,"-74,10866466300357","4,544549762025024"
329,UPZ26,Las Ferias,717,"-74,09072011696101","4,681598551247222"
370,UPZ113,Bavaria,227,"-74,12866940273511","4,636789034389064"
371,UPZ14,Usaquen,354,"-74,03143677025625","4,693142206515954"
372,UPZ67,Lucero,418,"-74,14954670933359","4,549873753962582"
373,UPZ57,Gran Yomasa,273,"-74,11094216840412","4,515859837123605"
374,UPZ86,El Porvenir,281,"-74,19210462193519","4,641606320243343"
342,UPZ71,Tibabuyes,511,"-74,11436631845552","4,745965834877601"
343,UPZ30,Boyaca Real,613,"-74,10361253584358","4,694854406699924"
344,UPZ47,Kennedy Central,413,"-74,15631620235668","4,621781184348163"
345,UPZ73,Garces Navas,625,"-74,12438088636749","4,714067568889054"
346,UPZ99,Chapinero,922,"-74,06382882029317","4,63849494094358"
347,UPZ52,La Flora,20,"-74,08939553663899","4,506976721459855"
348,UPZ10,La Uribe,133,"-74,03096172466397","4,751145388424158"
349,UPZ9,Verbenal,232,"-74,03327342952548","4,7633668802971165"
350,UPZ69,Ismael Perdomo,310,"-74,17093612932904","4,585334160231772"
351,UPZ19,El Prado,456,"-74,05684620496702","4,724176743554546"
352,UPZ42,Venecia,566,"-74,13942101729747","4,582924584113517"
353,UPZ34,20 De Julio,205,"-74,0948257914166","4,5650811940933425"
354,UPZ38,Restrepo,604,"-74,10650055873359","4,590698424125771"
355,UPZ58,Comuneros,226,"-74,11760626788701","4,502574962405878"
356,UPZ77,Zona Franca,158,"-74,16132915483077","4,676125886978281"
357,UPZ35,Ciudad Jardin,186,"-74,09310356599123","4,583638348829751"
358,UPZ36,San Jose,226,"-74,10433858987253","4,573736495597945"
359,UPZ44,Americas,498,"-74,13444028987192","4,622800090689898"
360,UPZ32,San Blas,150,"-74,0812801882573","4,56226776392246"
361,UPZ62,Tunjuelito,197,"-74,12902824592487","4,5584436826719745"
362,UPZ82,Patio Bonito,507,"-74,17034809755746","4,640808125521836"
363,UPZ40,Ciudad Montes,444,"-74,11236172406137","4,607028706281296"
364,UPR3,Upr Rio Tunjuelo,10,"-74,15840977192953","4,3963461569168105"
365,UPZ28,El Rincon,730,"-74,09445916602377","4,731901035382993"
366,UPZ98,Los Alcazares,645,"-74,06818628285568","4,66243803607171"
367,UPZ61,Ciudad Usme,35,"-74,11158447565937","4,479741328065926"
369,UPZ37,Santa Isabel,279,"-74,09572757992483","4,598407321274059"
409,UPZ2,La Academia,21,"-74,04915137484052","4,785227897854102"
410,UPZ78,Tintal Norte,85,"-74,15316180802331","4,657269993902038"
411,UPZ83,Las Margaritas,136,"-74,17835385181162","4,637108309893359"
412,UPZ101,Teusaquillo,595,"-74,07392427349725","4,62796049011299"
413,UPZ90,Pardo Rubio,275,"-74,05657117859715","4,640909643593059"
414,UPZ16,Santa Barbara,521,"-74,04577528768364","4,696057836377162"
415,UPZ114,Modelia,286,"-74,12241670464782","4,666485384889461"
375,UPZ103,Parque Salitre,36,"-74,08539877987769","4,661106455122858"
376,UPZ93,Las Nieves,"1,160","-74,0741635646646","4,604978847770582"
377,UPZ1,Paseo De Los Libertadores,32,"-74,03373463169939","4,791482693327691"
378,UPZ105,Jardin Botanico,84,"-74,1018609952756","4,662940860565654"
379,UPZ17,San Jose De Bavaria,337,"-74,05573056046931","4,762617490683724"
380,UPZ79,Calandaima,269,"-74,1621124388491","4,6487558986716095"
381,UPZ56,Danubio,154,"-74,11603704585922","4,535363946386261"
382,UPZ18,Britalia,276,"-74,05682380296119","4,747592365162064"
383,UPZ91,Sagrado Corazon,393,"-74,06593684138778","4,6198814312476895"
384,UPZ76,Fontibon San Pablo,187,"-74,16060568429305","4,694824759552753"
385,UPZ3,Guaymaral,14,"-74,04525540685485","4,817750436050569"
386,UPZ87,Tintal Sur,154,"-74,21028057343607","4,62948960416288"
387,UPZ31,Santa Cecilia,447,"-74,10815409303174","4,676938635809408"
388,UPZ117,Aeropuerto El Dorado,122,"-74,1423960785283","4,69892844961289"
389,UPZ92,La Macarena,195,"-74,06464877575284","4,610507804301579"
390,UPZ33,Sosiego,173,"-74,0855202216491","4,578078864867"
391,UPZ41,Muzu,378,"-74,12644813473177","4,599024996502991"
392,UPZ88,El Refugio,227,"-74,0466675219965","4,666004720343619"
393,UPZ104,Parque Simon Bolivar - Can,166,"-74,09133293395634","4,647745255618484"
394,UPZ49,Apogeo,128,"-74,16507646835997","4,600309348354419"
395,UPZ95,Las Cruces,234,"-74,0821650988828","4,590334354544646"
396,UPZ60,Parque Entrenubes,4,"-74,10090143686016","4,527282639506585"
397,UPZ100,Galerias,523,"-74,07275430377192","4,64354357790438"
398,UPZ13,Los Cedros,524,"-74,0361680419909","4,723784900832041"
399,UPZ12,Toberin,220,"-74,03942960512425","4,7421264557264635"
400,UPZ43,San Rafael,338,"-74,11735282808324","4,62043383109662"
401,UPZ116,Alamos,168,"-74,11723712721977","4,6855762431112655"
402,UPR1,Upr Zona Norte,30,"-74,07945930008444","4,792803382410904"
403,UPZ109,Ciudad Salitre Oriental,167,"-74,10179383349357","4,6432626056418345"
404,UPZ27,Suba,508,"-74,08773971545139","4,7502725683426075"
405,UPZ72,Bolivia,338,"-74,11588357228409","4,725173436698844"
406,UPZ24,Niza,279,"-74,07363634691983","4,717498091647937"
408,UPZ110,Ciudad Salitre Occidental,399,"-74,11169510295835","4,655403570690394"
416,UPZ68,El Tesoro,82,"-74,14154694251133","4,538584070768937"
417,UPZ112,Granjas De Techo,496,"-74,12606849820034","4,653265862536437"
418,UPZ64,Monte Blanco,10,"-74,13227399895104","4,499149747203315"
419,UPZ81,Gran Britalia,210,"-74,17497362243722","4,619883695337293"
420,UPZ106,La Esmeralda,182,"-74,08637185000357","4,648285213937389"
421,UPZ111,Puente Aranda,356,"-74,10873395375037","4,63350306736077"
422,UPZ63,El Mochuelo,2,"-74,13001136168336","4,537986445102946"
423,UPZ94,La Candelaria,250,"-74,07207052195602","4,596605054419337"
424,UPZ20,La Alhambra,278,"-74,06140753478289","4,698250774226756"
425,UPZ89,San Isidro - Patios,14,"-74,01946491721635","4,667742395862741"
426,UPZ65,Arborizadora,286,"-74,15279144614838","4,583175023336833"
428,UPZ115,Capellania,223,"-74,12716203367326","4,6792078157740775"
429,UPZ21,Los Andes,291,"-74,06747776307984","4,682615141021718"
430,UPZ107,Quinta Paredes,212,"-74,08954090162634","4,630724808762616"
431,UPZ54,Marruecos,244,"-74,11572574473983","4,557628887267556"
432,UPZ45,Carvajal,442,"-74,14149443391054","4,606947524289649"
433,UPZ53,Marco Fidel Suarez,154,"-74,11571540005959","4,570019806439839"
434,UPZ15,Country Club,104,"-74,04342707251688","4,71041920855171"
435,UPZ74,Engativa,247,"-74,13986150067015","4,7139296729712195"
436,UPZ23,Casa Blanca Suba,204,"-74,06951639667398","4,744020128928238"
437,UPZ97,Chico Lago,"1,581","-74,05422027648247","4,67150205594168"
327,UPZ39,Quiroga,510,"-74,11846044982715","4,582596217177482"
368,UPZ84,Bosa Occidental,501,"-74,1898618651784","4,623847346838228"
